Image,SSIM (Blurry),SSIM (Student)
0068_1024_1024.jpg,0.9676,0.9598
0068_1024_1280.jpg,0.9336,0.9262
0068_1024_1536.jpg,0.9375,0.9303
0068_1024_256.jpg,0.9401,0.9306
0068_1024_512.jpg,0.955,0.9443
0068_1024_768.jpg,0.9534,0.9449
0068_256_0.jpg,0.9724,0.9555
0068_256_1024.jpg,0.9624,0.9554
0068_256_1280.jpg,0.7184,0.7113
0068_256_1536.jpg,0.8158,0.8128
0068_256_256.jpg,0.9376,0.9193
0068_256_512.jpg,0.8266,0.8149
0068_256_768.jpg,0.903,0.8811
0068_512_0.jpg,0.9214,0.9019
0068_512_1024.jpg,0.5022,0.4942
0068_512_1280.jpg,0.7642,0.7573
0068_512_1536.jpg,0.7738,0.7636
0068_512_256.jpg,0.8117,0.8026
0068_512_512.jpg,0.7659,0.7565
0068_512_768.jpg,0.5653,0.5533
0068_768_0.jpg,0.9194,0.8985
0068_768_1024.jpg,0.7289,0.7168
0068_768_1280.jpg,0.8238,0.817
0068_768_1536.jpg,0.8329,0.8172
0068_768_256.jpg,0.9248,0.9142
0068_768_512.jpg,0.8667,0.8569
0068_768_768.jpg,0.801,0.7833
0079_0_0.jpg,0.9885,0.9838
0079_0_1024.jpg,0.9696,0.9583
0079_0_1280.jpg,0.9515,0.9378
0079_0_1536.jpg,0.9712,0.8724
0079_0_256.jpg,0.9911,0.9887
0079_0_512.jpg,0.9927,0.9905
0079_0_768.jpg,0.9854,0.9794
0079_1024_0.jpg,0.6982,0.6934
0079_1024_1024.jpg,0.5225,0.5157
0079_1024_1280.jpg,0.5271,0.5206
0079_1024_1536.jpg,0.5975,0.5918
0079_1024_256.jpg,0.645,0.6396
0079_1024_512.jpg,0.4919,0.4851
0079_1024_768.jpg,0.4808,0.4741
0079_256_0.jpg,0.9756,0.9674
0079_256_1024.jpg,0.9655,0.9522
0079_256_1280.jpg,0.9648,0.9531
0079_256_1536.jpg,0.9664,0.9541
0079_256_256.jpg,0.9689,0.9577
0079_256_512.jpg,0.9648,0.9552
0079_256_768.jpg,0.9627,0.9539
0079_512_0.jpg,0.5698,0.5587
0079_512_1024.jpg,0.4742,0.4626
0079_512_1280.jpg,0.5032,0.4939
0079_512_1536.jpg,0.5439,0.5371
0079_512_256.jpg,0.594,0.5868
0079_512_512.jpg,0.6322,0.6267
0079_512_768.jpg,0.585,0.5795
0079_768_0.jpg,0.7987,0.7939
0079_768_1024.jpg,0.4969,0.4888
0079_768_1280.jpg,0.586,0.5794
0079_768_1536.jpg,0.6671,0.6624
0079_768_256.jpg,0.8445,0.8402
0079_768_512.jpg,0.8025,0.7974
0079_768_768.jpg,0.5364,0.5303
0087_0_0.jpg,0.8571,0.8468
0087_0_1024.jpg,0.8963,0.8982
0087_0_1280.jpg,0.8715,0.8657
0087_0_1536.jpg,0.8433,0.8348
0087_0_256.jpg,0.8732,0.8571
0087_0_512.jpg,0.8807,0.8721
0087_0_768.jpg,0.894,0.893
0087_1024_0.jpg,0.8394,0.8261
0087_1024_1024.jpg,0.7978,0.7868
0087_1024_1280.jpg,0.7963,0.7855
0087_1024_1536.jpg,0.7834,0.781
0087_1024_256.jpg,0.8239,0.8168
0087_1024_512.jpg,0.7889,0.7799
0087_1024_768.jpg,0.8286,0.8194
0087_256_0.jpg,0.8636,0.8585
0087_256_1024.jpg,0.7333,0.7277
0087_256_1280.jpg,0.8104,0.8022
0087_256_1536.jpg,0.7438,0.7423
